*ItemCode,ItemName,Quantity,PurchasesDescription,PurchasesUnitPrice,PurchasesAccount,PurchasesTaxRate,SalesDescription,SalesUnitPrice,SalesAccount,SalesTaxRate,InventoryAssetAccount,CostOfGoodsSoldAccount,Status,InventoryType
LG020,LG Intelligent Floor Paint - Colours Tinted 2.5ltr,,Little Greene Intelligent Floor Paint - Colours Ti,81.00,311,No VAT,Little Greene Intelligent Floor Paint - Colours Ti,89.10,202,No VAT,,,Active,Untracked
LG021,LG Intelligent Floor Paint - Colours Tinted 1ltr,,Little Greene Intelligent Floor Paint - Colours Ti,38.70,311,No VAT,Little Greene Intelligent Floor Paint - Colours Ti,42.57,202,No VAT,,,Active,Untracked
LG022,LG Intelligent Satinwood - Colours Tinted 5ltr,,Little Greene Intelligent Satinwood - Colours Tint,131.40,311,No VAT,Little Greene Intelligent Satinwood - Colours Tint,144.54,202,No VAT,,,Active,Untracked
LG023,LG Intelligent Satinwood - Colours Tinted 2.5ltr,,Little Greene Intelligent Satinwood - Colours Tint,81.90,311,No VAT,Little Greene Intelligent Satinwood - Colours Tint,90.09,202,No VAT,,,Active,Untracked
LG024,LG Intelligent Satinwood - Colours Tinted 1ltr,,Little Greene Intelligent Satinwood - Colours Tint,40.50,311,No VAT,Little Greene Intelligent Satinwood - Colours Tint,44.55,202,No VAT,,,Active,Untracked
LG025,LG Interior Oil Eggshell - Colours Tinted 5ltr,,Little Greene Interior Oil Eggshell - Colours Tint,129.60,311,No VAT,Little Greene Interior Oil Eggshell - Colours Tint,142.56,202,No VAT,,,Active,Untracked
LG026,LG Interior Oil Eggshell - Colours Tinted 2.5ltr,,Little Greene Interior Oil Eggshell - Colours Tint,80.10,311,No VAT,Little Greene Interior Oil Eggshell - Colours Tint,88.11,202,No VAT,,,Active,Untracked
LG027,LG Interior Oil Eggshell - Colours Tinted 1ltr,,Little Greene Interior Oil Eggshell - Colours Tint,40.50,311,No VAT,Little Greene Interior Oil Eggshell - Colours Tint,44.55,202,No VAT,,,Active,Untracked
LG028,LG Toms Oil Eggshell - Colours Tinted 2.5ltr,,Little Greene Toms Oil Eggshell - Colours Tinted 2,84.60,311,No VAT,Little Greene Toms Oil Eggshell - Colours Tinted 2,93.06,202,No VAT,,,Active,Untracked
LG029,LG Toms Oil Eggshell - Colours Tinted 1ltr,,Little Greene Toms Oil Eggshell - Colours Tinted 1,42.30,311,No VAT,Little Greene Toms Oil Eggshell - Colours Tinted 1,46.53,202,No VAT,,,Active,Untracked
